2018-07-31 00:18:50 | INFO  | Controller.java:68 | try initialize start properties from file: C:\Users\mkach_000\vanish\property.properties
2018-07-31 00:18:50 | INFO  | Controller.java:88 | File: C:\Users\mkach_000\vanish\property.properties not exists
2018-07-31 00:18:50 | INFO  | Controller.java:232 | set on close operation
2018-07-31 00:20:16 | INFO  | Controller.java:136 | Start button click
2018-07-31 00:20:16 | INFO  | Controller.java:210 | try parse userId from: https://vk.com/id499375064 with service token = 64a09f1364a09f1364a09f13a364c5f024664a064a09f133fff1fb4d3263999135c20bf
2018-07-31 00:20:16 | INFO  | HttpTransportClient.java:171 | Request: https://api.vk.com/method/users.get		391
2018-07-31 00:20:16 | INFO  | Controller.java:220 | get userId = 499375064
2018-07-31 00:20:16 | INFO  | Controller.java:182 | try get token from string: https://oauth.vk.com/blank.html#access_token=9abf6d0594ab36cf75c6e81fbb05bfeb5de4995af39bbafa2a1f56301e098defaa66a669b9d28f40dfbff&expires_in=0&user_id=499375064&state=123456
2018-07-31 00:20:16 | INFO  | Controller.java:191 | try validate token: 9abf6d0594ab36cf75c6e81fbb05bfeb5de4995af39bbafa2a1f56301e098defaa66a669b9d28f40dfbff and userId: 499375064
2018-07-31 00:20:16 | INFO  | HttpTransportClient.java:171 | Request: https://api.vk.com/method/wall.get		47
2018-07-31 00:20:16 | INFO  | Controller.java:196 | token fine
2018-07-31 00:20:21 | INFO  | Controller.java:174 | click stop button. Try canceled task
2018-07-31 00:45:14 | INFO  | Controller.java:68 | try initialize start properties from file: C:\Users\mkach_000\vanish\property.properties
2018-07-31 00:45:14 | INFO  | Controller.java:88 | File: C:\Users\mkach_000\vanish\property.properties not exists
2018-07-31 00:45:14 | INFO  | Controller.java:232 | set on close operation
2018-07-31 00:46:24 | INFO  | Controller.java:136 | Start button click
2018-07-31 00:46:24 | INFO  | Controller.java:210 | try parse userId from: https://vk.com/id499375064 with service token = 64a09f1364a09f1364a09f13a364c5f024664a064a09f133fff1fb4d3263999135c20bf
2018-07-31 00:46:24 | INFO  | HttpTransportClient.java:171 | Request: https://api.vk.com/method/users.get		158
2018-07-31 00:46:24 | INFO  | Controller.java:220 | get userId = 499375064
